N,d,VFL TeamName,R,W,D,L,G,S,a,b,c,d,e,f,g,h,S,A,B,C,D,E,F,G,H,S,q,r,x,T,season
1,0,VFL Berlin,1,1,0,0,5,:,0,5,3,1,1,0,0,5,:,0,5,3,0,0,0,0,0,:,0,0,0,,Season 58803
2,0,VFL Madrid,1,1,0,0,4,:,1,3,3,1,1,0,0,4,:,1,3,3,0,0,0,0,0,:,0,0,0,,Season 58803
3,0,VFL Stockholm,1,1,0,0,2,:,0,2,3,1,1,0,0,2,:,0,2,3,0,0,0,0,0,:,0,0,0,,Season 58803
4,0,VFL Edinburgh,1,1,0,0,1,:,0,1,3,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,,Season 58803
4,0,VFL Lisbon,1,1,0,0,1,:,0,1,3,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,,Season 58803
6,0,VFL Ankara,1,0,1,0,3,:,3,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,3,:,3,0,1,,Season 58803
6,0,VFL Copenhagen,1,0,1,0,3,:,3,0,1,1,0,1,0,3,:,3,0,1,0,0,0,0,0,:,0,0,0,,Season 58803
8,0,VFL Athens,1,0,1,0,1,:,1,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,1,:,1,0,1,,Season 58803
8,0,VFL Brussels,1,0,1,0,1,:,1,0,1,1,0,1,0,1,:,1,0,1,0,0,0,0,0,:,0,0,0,,Season 58803
10,0,VFL Paris,1,0,1,0,0,:,0,0,1,1,0,1,0,0,:,0,0,1,0,0,0,0,0,:,0,0,0,,Season 58803
10,0,VFL Vienna,1,0,1,0,0,:,0,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,0,:,0,0,1,,Season 58803
12,0,VFL Amsterdam,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,1,-1,0,,Season 58803
12,0,VFL London,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,1,-1,0,,Season 58803
14,0,VFL Rome,1,0,0,1,0,:,2,-2,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,2,-2,0,,Season 58803
15,0,VFL Bern,1,0,0,1,1,:,4,-3,0,0,0,0,0,0,:,0,0,0,1,0,0,1,1,:,4,-3,0,,Season 58803
16,0,VFL Oslo,1,0,0,1,0,:,5,-5,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,5,-5,0,,Season 58803
1,-1,VFL Stockholm,2,2,0,0,4,:,1,3,6,1,1,0,0,2,:,0,2,3,1,1,0,0,2,:,1,1,3,,Season 58803
